bertopic,author,platform,url,content,newPostID
38,theshaderoom,instagram,https://www.instagram.com/p/Cfce83qOzQZ/,"TSR STAFF: Danielle J!@prettyaries16
***FACT CHECK*** (These claims have been proven false by medical professionals!!) Supreme Court Justice #ClarenceThomas continues to find himself in the midst of intense controversy and backlash—and this time it surrounds his false claims regarding the COVID-19 vaccine. During his dissenting opinion at a hearing of the Supreme Court Clarence Thomas alleged that current COVID-19 vaccines contain the cells of aborted children which has been proven to be untrue.
________________________
@Politico reports while hearing a case in the Supreme Court Clarence Thomas once again spouted false claimsregarding COVID-19. After the Supreme Court declined to hear a religious liberty challenge to the New York City vaccine mandate involving 16 health care workers Thomas incorrectly stated that COVID-19 vaccines contain the cells of “aborted children.” In his full statement on the matter he said of the Supreme Court “They object on religious grounds to all available COVID–19 vaccines because they were developed using cell lines derived from aborted children.”
________________________
To be clear none of the current COVID-19 vaccines in the U.S. contain any cells of aborted fetuses. Clarence Thomas attempted to make the correlation between cells obtained from elective abortions decades ago that were only used in the testing phase of the COVID vaccine development process—which is highly common practice in vaccine testing — including testing for rubella and chickenpox vaccinations. Thomas wasn’t alone as his fellow Supreme Court-Click The Link In Bio To Read More! 📸: (@gettyimages)",instagram_164131|2872306786683794457
5,theshaderoom,instagram,https://www.instagram.com/p/CUAlD5nlQur/,#ChrisRock shares he recently tested positive for COVID. Wishing him a speedy recovery! 🙏🏽,instagram_164131|2666293975150037931
74,theshaderoom,instagram,https://www.instagram.com/p/CakE0Tfu_Av/,"TSR STAFF: Brianne D! @beedev_
_____________________________________
#TSRUpdatez: People across the globe expressed heightened concern for #QueenElizabeth's health after it was reported that she tested positive for COVID-19 more than a week ago. 
_____________________________________
According to @nytimes Buckingham Palace announced on Tuesday the Queen is well enough to return to her daily duties as monarch through virtual means of course. She is reportedly set to appear before audiences with representatives from other countries in virtual engagements and other day-to-day responsibilities.
_____________________________________
Queen Elizabeth tested positive for the virus on Feb. 20 and subsequently several other people residing at Windsor Castle saw positive test results as well. As a result she—click the link in our bio to read more! (📸: @gettyimages)",instagram_164131|2784371656154148911
31,theshaderoom,instagram,https://www.instagram.com/p/CaBIfqqM5Pg/,"TSR STAFF: Danielle J!
@prettyaries16
___________________
As #Coachella 2022 inches closer after being canceled the last few years many fans are anxious to finally see their favorite artists back on the big stage—and based on new rules for festival entry things will be much easier than previously expected. It was just announced that Coachella has decided to drop all COVID-19 precautions meaning that vaccination status test results and mask mandates are officially not a factor.
____________________
@RollingStone reports Coachella just updated its website to reflect that all of those attending this year’s weekend festival can now do so without being required to show proof of vaccination produce negative COVID test results or be expected to wear masks. Although the festival organizers did note that the new rules are subject to “change at any time” depending on local ordinances.
_____________________
Coachella also added language on its website making it clear that attendees are responsible for their own health as COVID-19 is an “extremely contagious disease.” The warning on the website read “There is an inherent and elevated risk of exposure to COVID-19 in any public place or place where people are present and there is no guarantee express or implied that those attending-Click The Link In Bio To Read More! 📸: (@gettyimages)",instagram_164131|2774536205917983712
11,theshaderoom,instagram,https://www.instagram.com/p/CXumeESM4d5/,"TSR STAFF: La’Janeé @_lajanee_ 
____________________
According to reports a Royal Caribbean cruise ship docked in Miami with 48 COVID-19 cases.
____________________
After docking at PortMiami once the seven-day cruise was over this past weekend the ship with over 6000 passengers reported COVID cases even with many who tested positive being vaccinated.
____________________
According to a statement “98% of those that tested positive were fully vaccinated"" and—Read more at theshaderoom.com (📸:@gettyimages)",instagram_164131|2733291215812527993
53,theshaderoom,instagram,https://www.instagram.com/p/CUNjesjJ65E/,#PressPlay: ABC’s #TheView pulled hosts #SunnyHostin and #AnaNavarro mid-show after the women tested positive for COVID. This happened right as the hosts were about to bring out Vice President Kamala Harris. As a safety precaution Kamala was interviewed remotely from another room in the studio. (📹: @theviewabc),instagram_164131|2669946195147206212
74,theshaderoom,instagram,https://www.instagram.com/p/CaNQq7bpDl2/,#TSRPrayersUp: Buckingham Palace has announced that #QueenElizabethII has tested positive for COVID-19. According to @dailymail the 95-year-old has developed “mild cold-like symptoms” and is expected to continue “light duties” in the coming week according to the palace’s official statement. (📸: @gettyimages),instagram_164131|2777949863934179702
5,theshaderoom,instagram,https://www.instagram.com/p/CVnvmGdpjC7/,#TSRPrayersUp: #Roommates #KhloeKardashian just announced that she and her daughter #TrueThompson have both tested positive for COVID-19. Let’s send them some prayers and positive thoughts. 🙏🏽,instagram_164131|2695332228470550715
60,theshaderoom,instagram,https://www.instagram.com/tv/Cd6UjTAl43e/,"TSR Staff: China! @china_lovelace
_______________________
#PressPlay: #Roommates #Benzino has turned himself in following a warrant for his arrest according to @allhiphopcom. The rapper and former owner of ‘The Source’ warrant stems from a July 2020 incident between his ex-girlfriend and mother of his child #AltheaHeart and her boyfriend. Althea’s boyfriend claimed Benzino punched his truck.  
_______________________
Zino spoke with AllHipHopcom recently to explain the situation stating “I was kind of arguing with the guy she was with at the time. Long story short the case was like two years ago and somebody put that old video up and it got me kind of arguing with him.”
_______________________
Following the incident Zino was ordered to appear in court via Zoom in April but missed the date after testing positive for COVID-19. #Roommates we will keep you updated with more information as it becomes available! 📹:(@AllHipHopcom)",instagram_164131|2844676501160824286
28,theshaderoom,instagram,https://www.instagram.com/p/CZLExx-MZJs/,"TSR STAFF: Jade Ashley @Jade_Ashley94
_____________________________________
#TSRUpdatez: It looks like the #Biden administration's regulation for businesses to make sure their employees are either vaccinated or tested frequently will come to an end starting Wednesday.
_____________________________________
According to @cnbc on Tuesday the Occupational Safety and Health Administration (#OSHA) announced the withdrawal of its vaccine and testing mandate for businesses. This decision comes after the Supreme Court blocked the regulation earlier this month. 
_____________________________________
In a statement OSHA said ""Although Congress has indisputably given OSHA the power to regulate occupational dangers it has not given that agency the power to regulate public health more broadly."" A Labor Department spokesperson says the OSHA will ask the U.S. Court of Appeals for the 6th Circuit to dismiss any remaining cases that are connected to the mandate. The spokesperson also said ""OSHA is evaluating the record and the—read more at TheShadeRoom.com (📸: @gettyimages)",instagram_164131|2759320209791750764
