,Topic Number,Posts,Theme,Content Details,metaTopic,COMB,iteration,new
0,10,535,Questions about and experiences with COVID test types and accuracy,Some Survivor Corps-type posts that are more question-oriented (vs. rant) - confusion,Discussion and questions about COVID test types and accuracy,C-Psy,0,1
1,34,292,News and information about updated COVID isolation guidelines depending on test results,A mix in vibe between news-announcing info-giving and some encouragement. Most relevant posts are about CDC updated guidance random posts are more generally about testing guidelines,Information about acting on COVID test results,C-Psy,0,0
2,56,178,Information about COVID test results interpretation and response guidelines,Most relevant posts are about how negative test results don't rule out COVID - random posts seem different/more varied (though maybe there's also more about long COVID as it seems the GPT summary picks up on that…?),Information about acting on COVID test results,C-Psy,0,0
3,67,136,Information about isolation/quarantine  and testing guidelines,,Information about acting on COVID test results,C-Psy,0,0
4,8,581,Information about COVID test types and accuracy,,Information about COVID test types and accuracy,C-Psy,0,0
5,18,441,Information about COVID rapid home test expiration dates and reliability,,Information about COVID test types and accuracy,C-Psy,0,0
6,36,285,News about scientific research on COVID test and treatment effectiveness,Lots of News Medical,Information about COVID test types and accuracy,C-Psy,0,0
7,55,184,News about new COVID and flu test kit technology FDA authorization and accuracy,Specifically most relevant posts talk about home test kits that do COVID and flu together,Information about COVID test types and accuracy,C-Psy,0,0
8,14,494,Promotion of the importance of COVID-19 testing and information about test site/kit opportunities,"Range of accounts - institutional - govt health news; some random individuals/groups.

Most relevant posts are on the theme I wrote but the random ones are kind of wide-ranging; maybe there's more about the GPT theme topics (long lines and high demand of testing?)",Information about when to test for COVID,C-Psy,0,0
9,24,353,Promotion of and information about COVID test types and guidelines,A range of different (institutional) accounts - orgs news local media,Information about when to test for COVID,C-Psy,0,1
10,30,327,Information about guidelines on when to test for COVID given symptoms or exposure,,Information about when to test for COVID,C-Psy,0,0
11,66,138,Information about symptoms and encouragement of testing for COVID flu and RSV,Some KelleyKga posts - though the ones showing here aren't misinfo themselves per se,Information and encouragement about getting tested for COVID and other respiratory illnesses,C-Psy,0,1
12,20,424,(Mis)information and conspiracy theories about the COVID pandemic and (non)importance of COVID prevention,Most relevant posts are Spanish langauge posts from Medicos Por La Verdad! - though some random posts seem not related if anything more promotion of COVID prevention/resource access,Misinformation and conspiracy theories about the existence or threat of COVID,C-Psy,0,1
13,29,332,(Mis)information about the (non)importance of continued COVID testing with new variants,"Most relevant posts are from Medicos Por La Verdad! but random posts are ""pro-vaccine"" accounts/posts",Misinformation and conspiracy theories about the existence or threat of COVID,C-Psy,0,1
14,0,899,Sharing of negative experiences with long COVID symptoms,Survivor Corps-type posts,Emotionally-charged sharing of the human costs and negative health impacts of COVID,M-Aut,0,0
15,9,553,Sharing of experiences with long-lasting COVID symptoms,Survivor Corps-type posts,Emotionally-charged sharing of the human costs and negative health impacts of COVID,M-Aut,0,0
16,68,136,Sharing about people testing positive and (in some cases) dying from COVID,Most relevant posts all from Cleavon_MD. Some are also about public figures  but otherwise it seems about just regular sympathetic people,Emotionally-charged sharing of the human costs and negative health impacts of COVID,M-Aut,0,1
17,69,120,Criticism of the Biden administration's handling of COVID and not meeting testing demands,"Most relevant are from Breitbart - so right-wing critical. But not actually (all) discouraging of COVID prevention necessarily -- e.g. saying that Biden ""failed to meet demands for more testing"" -- but some anti-mandates etc",Politically-charged critique of COVID prevention measures and policies,M-Aut,0,0
18,84,7,News about Kemp opposing Biden's employer COVID prevention mandates,,Politically-charged critique of COVID prevention measures and policies,M-Aut,0,0
19,26,348,Promotion of the importance of COVID testing,,Encouragement to get COVID tested,M-Ref,0,0
20,61,161,Encouragement to test for COVID during the holiday season,A range of accounts - news health orgs (influence-y) individuals' accounts,Encouragement to get COVID tested,M-Ref,0,0
21,38,279,Misinformation and conspiracy theories about COVID including test results and discouragement of preventive measures,Lots of Medicos Por La Verdad! and other misinfo. This one seems pretty much all/mostly misinfo,Misinformation about and discouragement of (government) COVID prevention efforts,M-Ref,0,1
22,72,95,(Mis)information about COVID testing and (Hispanic) immigrants,A mix of things that are related to (Hispanic) migrants though not all - some Hispatlanta posts in most relevant that are just about employer vaccine/testing mandates (but in Spanish language),Misinformation about and discouragement of (government) COVID prevention efforts,M-Ref,0,0
23,16,460,News on high COVID-19 case counts with encouragement to test,Not necessarily local - includes general / country-wide,News about general COVID case/transmission levels and variants,M-Ref,0,0
24,21,407,Sharing and (misleading) discussion of information around COVID variants breakthrough cases and vaccine effectiveness,"Not so much from news or health org accounts but rather FB groups or individual ""influencers""/commenters. Some posts by misinfo-y accounts that may put a spin on/skeptical of info being discussed not sure if there's overt misinfo per se",News about general COVID case/transmission levels and variants,M-Ref,0,1
25,58,175,News and information sharing about rise in children testing positive for COVID,Not necessarily local - includes general / country-wide,News about general COVID case/transmission levels and variants,M-Ref,0,1
26,79,39,News about Kemp sending Georgia National Guard to support hospitals and COVID testing sites,News mostly local,News about increasing resources for local COVID testing,M-Ref,0,0
27,7,595,News about students and staff testing positive at local schools and information about school COVID policies,Some posts that have to do with official testing/exposure guidelines for students and school staff,News about local COVID case/transmission levels and variants,M-Ref,0,0
